participant_id,app_version,date,sessions_count,total_time_minutes,foods_logged,breakfast_logged,lunch_logged,dinner_logged,snacks_logged,goal_meals_complete,goal_protein_complete,goal_calories_complete,points_earned,progress_visited,streak_eod
Christopher,control,2026-06-19,1,6.3,2,TRUE,FALSE,TRUE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Christopher,control,2026-06-20,1,6.7,3,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Christopher,control,2026-06-21,1,5.4,2,TRUE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Christopher,control,2026-06-22,1,6.5,2,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Christopher,control,2026-06-23,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Christopher,control,2026-06-24,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Christopher,control,2026-06-25,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Christopher,control,2026-06-26,1,6.5,1,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Christopher,control,2026-06-27,1,4.0,1,TRUE,TRUE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Christopher,control,2026-06-28,1,6.3,3,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jonathan,control,2026-06-19,1,4.9,3,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jonathan,control,2026-06-20,0,0.0,0,FALSE,FALSE,FALSE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jonathan,control,2026-06-21,1,8.4,1,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jonathan,control,2026-06-22,1,5.9,3,TRUE,FALSE,TRUE,TRUE,N/A,N/A,N/A,N/A,FALSE,N/A
Jonathan,control,2026-06-23,1,7.0,3,FALSE,FALSE,TRUE,FALSE,N/A,N/A,N/A,N/A,FALSE,N/A
Jonathan,control,2026-06-24,1,7.9,4,FALSE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
Jonathan,control,2026-06-25,2,5.5,3,TRUE,TRUE,TRUE,FALSE,N/A,N/A,N/A,N/A,TRUE,N/A
